Total Calories
,Calorie Type,Value
Sun,BMR,2352
Mon,BMR,2352
Tue,BMR,2352
Wed,BMR,2352
Thu,BMR,2352
Fri,BMR,2352
Sat,BMR,2352
Sun,Active,902
Mon,Active,1244
Tue,Active,3029
Wed,Active,2296
Thu,Active,1065
Fri,Active,835
Sat,Active,853
