Total Calories
,Calorie Type,Value
Sun,BMR,2352
Mon,BMR,2352
Tue,BMR,2352
Wed,BMR,2352
Thu,BMR,2352
Fri,BMR,2352
Sat,BMR,2352
Sun,Active,1731
Mon,Active,1710
Tue,Active,1818
Wed,Active,1752
Thu,Active,2378
Fri,Active,2073
Sat,Active,1668
