Total Calories
,Calorie Type,Value
Sun,BMR,2352
Mon,BMR,2352
Tue,BMR,2352
Wed,BMR,2352
Thu,BMR,2352
Fri,BMR,2352
Sat,BMR,2352
Sun,Active,1117
Mon,Active,866
Tue,Active,977
Wed,Active,384
Thu,Active,1769
Fri,Active,1695
Sat,Active,1692
