Total Calories
,Calorie Type,Value
Sun,BMR,2325
Mon,BMR,2325
Tue,BMR,2325
Wed,BMR,2325
Thu,BMR,2325
Fri,BMR,2325
Sat,BMR,2325
Sun,Active,1976
Mon,Active,1768
Tue,Active,1851
Wed,Active,1731
Thu,Active,1796
Fri,Active,2010
Sat,Active,1730
