Total Calories
,Calorie Type,Value
Sun,BMR,2325
Mon,BMR,2325
Tue,BMR,2325
Wed,BMR,2325
Thu,BMR,2325
Fri,BMR,2325
Sat,BMR,2325
Sun,Active,1974
Mon,Active,1749
Tue,Active,1738
Wed,Active,2132
Thu,Active,2330
Fri,Active,2320
Sat,Active,1464
