Total Calories
,Calorie Type,Value
Sun,BMR,2325
Mon,BMR,2325
Tue,BMR,2325
Wed,BMR,2325
Thu,BMR,2325
Fri,BMR,2325
Sat,BMR,2325
Sun,Active,1982
Mon,Active,2361
Tue,Active,1796
Wed,Active,2894
Thu,Active,1714
Fri,Active,1712
Sat,Active,1750
