Total Calories
,Calorie Type,Value
Sun,BMR,2325
Mon,BMR,2352
Tue,BMR,2352
Wed,BMR,2352
Thu,BMR,2352
Fri,BMR,2352
Sat,BMR,2352
Sun,Active,1655
Mon,Active,1952
Tue,Active,1132
Wed,Active,701
Thu,Active,846
Fri,Active,1513
Sat,Active,1099
