Total Calories
,Calorie Type,Value
Sun,BMR,2352
Mon,BMR,2352
Tue,BMR,2352
Wed,BMR,2352
Thu,BMR,2352
Fri,BMR,2352
Sat,BMR,2352
Sun,Active,915
Mon,Active,1286
Tue,Active,1105
Wed,Active,1705
Thu,Active,2162
Fri,Active,2425
Sat,Active,1722
