Total Calories
,Calorie Type,Value
Sun,BMR,2352
Mon,BMR,2352
Tue,BMR,2352
Wed,BMR,2352
Thu,BMR,2352
Fri,BMR,2352
Sat,BMR,2352
Sun,Active,1838
Mon,Active,1822
Tue,Active,1936
Wed,Active,1689
Thu,Active,1954
Fri,Active,2103
Sat,Active,1731
